[16-Dec-2019 20:56:09 UTC] PHP Fatal error:  Cannot redeclare Turno::$_id in C:\Users\Nehuen\Desktop\paw\paw-123105\TP2\www\model\turno.php on line 6
[16-Dec-2019 20:56:36 UTC] PHP Notice:  Undefined index: diagnostico in C:\Users\Nehuen\Desktop\paw\paw-123105\TP2\www\model\turno.php on line 73
[16-Dec-2019 20:56:36 UTC] PHP Notice:  Undefined property: Turno::$diagnostico in C:\Users\Nehuen\Desktop\paw\paw-123105\TP2\www\model\turno.php on line 89
[16-Dec-2019 20:57:09 UTC] PHP Notice:  Undefined property: Turno::$diagnostico in C:\Users\Nehuen\Desktop\paw\paw-123105\TP2\www\model\turno.php on line 89
[16-Dec-2019 21:20:38 UTC] PHP Notice:  Undefined index: diagnostico in C:\Users\Nehuen\Desktop\paw\paw-123105\TP2\www\turno.php on line 48
[16-Dec-2019 22:51:19 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in C:\Users\Nehuen\Desktop\paw\paw-123105\TP2\www\model\turno.php on line 28
[16-Dec-2019 22:52:11 UTC] PHP Notice:  Undefined index:  in C:\Users\Nehuen\Desktop\paw\paw-123105\TP2\www\model\turno.php on line 42
[16-Dec-2019 22:53:36 UTC] PHP Notice:  Trying to get property of non-object in C:\Users\Nehuen\Desktop\paw\paw-123105\TP2\www\model\turno.php on line 28
[16-Dec-2019 22:53:36 UTC] PHP Notice:  Trying to get property of non-object in C:\Users\Nehuen\Desktop\paw\paw-123105\TP2\www\model\turno.php on line 29
[16-Dec-2019 22:54:02 UTC] PHP Notice:  Undefined index:  in C:\Users\Nehuen\Desktop\paw\paw-123105\TP2\www\model\turno.php on line 42
[03-Apr-2020 00:24:24 UTC] PHP Warning:  require(view/turno-list.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\C\Turno.php on line 14
[03-Apr-2020 00:24:24 UTC] PHP Fatal error:  require(): Failed opening required 'view/turno-list.php' (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\C\Turno.php on line 14
[03-Apr-2020 00:32:22 UTC] PHP Warning:  require(view/turno-form.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\C\Turno.php on line 37
[03-Apr-2020 00:32:22 UTC] PHP Fatal error:  require(): Failed opening required 'view/turno-form.php' (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\C\Turno.php on line 37
[03-Apr-2020 00:32:26 UTC] PHP Warning:  require(view/turno-form.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\C\Turno.php on line 37
[03-Apr-2020 00:32:26 UTC] PHP Fatal error:  require(): Failed opening required 'view/turno-form.php' (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\C\Turno.php on line 37
[03-Apr-2020 00:34:04 UTC] PHP Warning:  require(view/turno-form.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\C\Turno.php on line 37
[03-Apr-2020 00:34:04 UTC] PHP Fatal error:  require(): Failed opening required 'view/turno-form.php' (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\C\Turno.php on line 37
[03-Apr-2020 00:34:05 UTC] PHP Warning:  require(view/turno-form.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\C\Turno.php on line 37
[03-Apr-2020 00:34:05 UTC] PHP Fatal error:  require(): Failed opening required 'view/turno-form.php' (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\C\Turno.php on line 37
[03-Apr-2020 01:35:10 UTC] PHP Notice:  Undefined index: id in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\V\Turno\form.php on line 8
[03-Apr-2020 01:35:10 UTC] PHP Notice:  Undefined index: nombre in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\V\Turno\form.php on line 12
[03-Apr-2020 01:35:10 UTC] PHP Notice:  Undefined index: email in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\V\Turno\form.php on line 16
[03-Apr-2020 01:35:10 UTC] PHP Notice:  Undefined index: telefono in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\V\Turno\form.php on line 20
[03-Apr-2020 01:35:10 UTC] PHP Notice:  Undefined index: nacimiento in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\V\Turno\form.php on line 24
[03-Apr-2020 01:35:10 UTC] PHP Notice:  Undefined index: calzado in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\V\Turno\form.php on line 28
[03-Apr-2020 01:35:10 UTC] PHP Notice:  Undefined index: altura in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\V\Turno\form.php on line 32
[03-Apr-2020 01:35:10 UTC] PHP Notice:  Undefined index: _pelos in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\V\Turno\form.php on line 38
[03-Apr-2020 01:35:10 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\V\Turno\form.php on line 38
[03-Apr-2020 01:35:10 UTC] PHP Notice:  Undefined index: turno in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\V\Turno\form.php on line 46
[03-Apr-2020 01:35:10 UTC] PHP Notice:  Undefined index: horario in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\V\Turno\form.php on line 50
[03-Apr-2020 02:27:18 UTC] PHP Notice:  Undefined offset: 1 in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 110
[03-Apr-2020 02:27:19 UTC] PHP Warning:  file_get_contents(https://www.youtube.com/yts/jsbin/player_ias/en_US/base.js): failed to open stream: HTTP request failed! HTTP/1.0 404 Not Found
 in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 207
[03-Apr-2020 02:27:19 UTC] PHP Warning:  preg_match_all() expects parameter 2 to be string, array given in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 130
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Notice:  Undefined variable: a in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  join(): Invalid arguments passed in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Notice:  Undefined variable: a in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  join(): Invalid arguments passed in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Notice:  Undefined variable: a in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  join(): Invalid arguments passed in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Notice:  Undefined variable: a in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  join(): Invalid arguments passed in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Notice:  Undefined variable: a in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  join(): Invalid arguments passed in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Notice:  Undefined variable: a in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  join(): Invalid arguments passed in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Notice:  Undefined variable: a in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  join(): Invalid arguments passed in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Notice:  Undefined variable: a in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  join(): Invalid arguments passed in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 204
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(sig1.php): failed to open stream: No such file or directory in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
[03-Apr-2020 02:27:20 UTC] PHP Warning:  include(): Failed opening 'sig1.php' for inclusion (include_path='.;C:/Users/Nehuen/Desktop/UNLu/paw-123105/TP2/etc/php/pear') in C:\Users\Nehuen\Desktop\UNLu\paw-123105\TP2\www\yt.php on line 203
